Formula	Molar Mass	CAS Registry Number	Name
CH4	16.043	74-82-8	Methane
$$$Compressibility Factor (isothermal)
T [K]	P [kPa]	Compressibility Factor (isothermal) [-]	State	Reference
298.65	5066.250	0.03885	Vapor	1
298.65	6079.500	0.04007	Vapor	1
298.65	7092.750	0.04132	Vapor	1
298.65	8106.000	0.042915	Vapor	1
298.65	9119.250	0.04438	Vapor	1
298.65	10132.500	0.04593	Vapor	1
298.65	12665.601	0.05024	Vapor	1
298.65	15198.800	0.0551	Vapor	1
298.65	20265.000	0.06364	Vapor	1
298.65	25331.201	0.07084	Vapor	1
298.65	30397.500	0.07704	Vapor	1
298.65	40530.000	0.0870	Vapor	1
298.65	50662.500	0.0963	Vapor	1
298.65	60795.000	0.10521	Vapor	1
349.95	101.325	0.041366	Vapor	1
349.95	1013.250	0.04187	Vapor	1
349.95	2026.500	0.042705	Vapor	1
349.95	3039.750	0.04354	Vapor	1
349.95	4053.000	0.04438	Vapor	1
349.95	5066.250	0.04534	Vapor	1
349.95	6079.500	0.04631	Vapor	1
349.95	7092.750	0.04744	Vapor	1
349.95	8106.000	0.04865	Vapor	1
349.95	9119.250	0.04982	Vapor	1
349.95	10132.500	0.05108	Vapor	1
349.95	12665.601	0.05393	Vapor	1
349.95	15198.800	0.05694	Vapor	1
349.95	20265.000	0.06322	Vapor	1
349.95	25331.201	0.06908	Vapor	1
349.95	30397.500	0.07461	Vapor	1
349.95	40530.000	0.08415	Vapor	1
349.95	50662.500	0.09232	Vapor	1
349.95	60795.000	0.09923	Vapor	1
431.15	101.325	0.05485	Vapor	1
431.15	1013.250	0.05527	Vapor	1
431.15	2026.500	0.05589	Vapor	1
431.15	3039.750	0.05652	Vapor	1
431.15	4053.000	0.05728	Vapor	1
431.15	5066.250	0.05799	Vapor	1
431.15	6079.500	0.05882	Vapor	1
431.15	7092.750	0.0595	Vapor	1
431.15	8106.000	0.06029	Vapor	1
431.15	9119.250	0.06113	Vapor	1
431.15	10132.500	0.06188	Vapor	1
431.15	12665.601	0.06406	Vapor	1
431.15	15198.800	0.06615	Vapor	1
431.15	20265.000	0.07076	Vapor	1
431.15	25331.201	0.07536	Vapor	1
431.15	30397.500	0.08018	Vapor	1
431.15	40530.000	0.08792	Vapor	1
431.15	50662.500	0.09546	Vapor	1
431.15	60795.000	0.10216	Vapor	1
508.15	101.325	0.06866	Vapor	1
508.15	1013.250	0.06912	Vapor	1
508.15	2026.500	0.06967	Vapor	1
508.15	3039.750	0.07034	Vapor	1
508.15	4053.000	0.07097	Vapor	1
508.15	5066.250	0.0716	Vapor	1
508.15	6079.500	0.07222	Vapor	1
508.15	7092.750	0.07289	Vapor	1
508.15	8106.000	0.07369	Vapor	1
508.15	9119.250	0.07436	Vapor	1
508.15	10132.500	0.07494	Vapor	1
508.15	12665.601	0.07687	Vapor	1
508.15	15198.800	0.07871	Vapor	1
508.15	20265.000	0.08248	Vapor	1
508.15	25331.201	0.08625	Vapor	1
508.15	30397.500	0.09002	Vapor	1
508.15	40530.000	0.09692	Vapor	1
508.15	50662.500	0.1032	Vapor	1
508.15	60795.000	0.1091	Vapor	1
Number	Source
1	Golubev I.F.: Ein Bikalorimeter zur Bestimmung der Wärmeleitfähigkeit von Gasen Und Flüssigkeiten bei hohem Drücken und verschiedenen Temperaturen. Teploenergetika  (1963) 78-82
$$$Transition Temperature
T [K]	P [kPa]	State	Reference
20.53		Solid-Solid	1
Number	Source
1	Vogt G.J.; Pitzer K.S.: Entropy and heat capacity of methane; spin-species conversion. J.Chem.Thermodyn. 8 (1976) 1011-1031
$$$Triple Point
T [K]	P [kPa]	State	Reference
	11.676	Solid-Liquid-Vapor	6
90.66	11.679	Solid-Liquid-Vapor	2
90.68		Solid-Liquid-Vapor	5
90.68	11.688	Solid-Liquid-Vapor	4
90.68	11.744	Solid-Liquid-Vapor	3
90.69	11.691	Solid-Liquid-Vapor	1
Number	Source
1	Azevedo E.J.S.G.; Zollweg J.A.; Calado J.C.G.: Thermodynamics of Liquid Mixtures: (Argon + Ethane). J.Chem.Thermodyn. 26 (1994) 847-856
2	Armstrong G.T.; Brickwedde F.G.; Scott R.B.: The vapor pressures of the deuteromethanes.. J.Chem.Phys. 21 (1953) 1297-1298
3	Prydz R.; Goodwin R.D.: Experimental melting and vapor pressures of methane.. J.Chem.Thermodyn. 4 (1972) 127-133
4	Freeth F.A.; Verschoyle T.T.H.: Physical Constants of the System Methane-Hydrogen. Proc.Roy.Soc.London Ser.A 130 (1931) 453-463
5	Lovejoy D.R.: Some boiling and triple points below 0°C.. Nature (London) 197 (1963) 353-354
6	Thomaes G.; van Steenwinkel R.; Stone W.: II. Neon-Krypton. Mol.Phys. 5 (1962) 301-306
$$$Vapor Pressure
T [K]	P [kPa]	State	Reference
76.89	1.1626	Solid-Gas	5
79.75	2.000	Solid-Gas	5
81.74	2.9064	Solid-Gas	5
83.82	4.104	Solid-Gas	5
85.42	5.368	Solid-Gas	5
87.25	7.113	Solid-Gas	5
92.15	14.012	Vapor-Liquid	4
93.15	15.852	Vapor-Liquid	4
94.15	17.918	Vapor-Liquid	4
95.15	20.145	Vapor-Liquid	4
96.15	22.611	Vapor-Liquid	4
96.30	26.265	Vapor-Liquid	2
97.15	25.331	Vapor-Liquid	4
97.20	29.064	Vapor-Liquid	2
97.60	31.064	Vapor-Liquid	2
98.15	28.278	Vapor-Liquid	4
98.60	34.797	Vapor-Liquid	2
99.15	31.477	Vapor-Liquid	4
99.40	38.130	Vapor-Liquid	2
100.15	34.931	Vapor-Liquid	4
101.15	38.663	Vapor-Liquid	4
102.15	42.716	Vapor-Liquid	4
103.15	47.090	Vapor-Liquid	4
104.15	51.836	Vapor-Liquid	4
105.15	56.955	Vapor-Liquid	4
106.15	62.422	Vapor-Liquid	4
107.15	68.288	Vapor-Liquid	4
108.15	74.567	Vapor-Liquid	4
109.15	81.273	Vapor-Liquid	4
109.20	92.792	Vapor-Liquid	2
109.80	98.392	Vapor-Liquid	2
110.15	88.499	Vapor-Liquid	4
112.35	111.109	Vapor-Liquid	3
117.82	164.850	Vapor-Liquid	3
120.48	199.173	Vapor-Liquid	3
122.71	233.791	Vapor-Liquid	3
124.90	269.977	Vapor-Liquid	3
126.96	308.321	Vapor-Liquid	3
128.33	336.270	Vapor-Liquid	3
130.25	378.341	Vapor-Liquid	3
131.41	405.309	Vapor-Liquid	3
131.77	402.073	Vapor-Liquid	6
132.13	423.059	Vapor-Liquid	3
135.60	512.790	Vapor-Liquid	3
136.14	490.332	Vapor-Liquid	6
137.91	581.240	Vapor-Liquid	3
139.86	588.399	Vapor-Liquid	6
140.23	655.575	Vapor-Liquid	3
140.67	686.465	Vapor-Liquid	6
142.21	724.613	Vapor-Liquid	3
144.20	800.026	Vapor-Liquid	3
145.41	784.532	Vapor-Liquid	6
146.49	892.405	Vapor-Liquid	6
146.70	900.545	Vapor-Liquid	3
147.84	950.068	Vapor-Liquid	3
148.40	990.472	Vapor-Liquid	6
149.80	1037.250	Vapor-Liquid	3
150.00	1078.730	Vapor-Liquid	6
151.75	1186.600	Vapor-Liquid	6
152.41	1163.170	Vapor-Liquid	3
154.07	1284.670	Vapor-Liquid	6
155.46	1328.600	Vapor-Liquid	3
155.82	1372.930	Vapor-Liquid	6
156.65	1395.490	Vapor-Liquid	3
157.27	1471.000	Vapor-Liquid	6
158.50	1506.100	Vapor-Liquid	3
160.04	1657.320	Vapor-Liquid	6
161.15	1675.560	Vapor-Liquid	3
161.61	1863.260	Vapor-Liquid	6
164.31	1893.170	Vapor-Liquid	3
165.84	2079.010	Vapor-Liquid	6
167.40	2126.380	Vapor-Liquid	3
169.01	2333.980	Vapor-Liquid	6
170.52	2381.050	Vapor-Liquid	3
173.27	2624.260	Vapor-Liquid	3
173.38	2716.440	Vapor-Liquid	6
175.74	2759.690	Vapor-Liquid	3
176.22	2981.220	Vapor-Liquid	6
178.09	3092.330	Vapor-Liquid	3
179.10	3285.230	Vapor-Liquid	6
179.83	3276.210	Vapor-Liquid	3
180.00	3286.850	Vapor-Liquid	1
180.00	3393.100	Vapor-Liquid	6
180.92	3500.970	Vapor-Liquid	6
181.82	3495.380	Vapor-Liquid	3
182.00	3508.870	Vapor-Liquid	1
183.32	3668.470	Vapor-Liquid	3
184.00	3742.280	Vapor-Liquid	1
186.00	3987.820	Vapor-Liquid	1
186.24	4026.120	Vapor-Liquid	3
186.47	4030.830	Vapor-Liquid	3
187.00	4115.450	Vapor-Liquid	1
187.46	4181.850	Vapor-Liquid	3
187.54	4190.380	Vapor-Liquid	3
188.00	4246.550	Vapor-Liquid	1
189.00	4381.370	Vapor-Liquid	1
189.01	4392.200	Vapor-Liquid	3
189.50	4450.300	Vapor-Liquid	1
189.80	4492.200	Vapor-Liquid	1
190.00	4520.370	Vapor-Liquid	1
190.10	4534.540	Vapor-Liquid	1
190.20	4548.760	Vapor-Liquid	1
190.25	4559.600	Vapor-Liquid	3
190.30	4563.040	Vapor-Liquid	1
190.40	4577.380	Vapor-Liquid	1
190.45	4584.580	Vapor-Liquid	1
190.50	4591.800	Vapor-Liquid	1
190.53	4596.150	Vapor-Liquid	1
Number	Source
1	Kleinrahm R.; Duschek W.; Wagner W.: (Pressure, density, temperature) measurements in the critical region of methane. J.Chem.Thermodyn. 18 (1986) 1103-1114
2	Hunter M.A.: The Molecular Aggregation of Liquefied Gases. J.Phys.Chem. 10 (1906) 330-360
3	Van Itterbeek A.; Staes K.; Verbeke O.; Theeuwes F.: Vapour pressure of saturated liquid methane. Physica (Amsterdam) 30 (1964) 1896-1900
4	Stock A.; Henning F.; Kuss E.: Dampfdrucktafeln fuer Temperaturbestimmungen zwischen +25°C und -185°C. Ber.Dtsch.Chem.Ges./B:Abhandl. 54 (1921) 1119-1129
5	Karwat E.: Der Dampfdruck des festen Chlorwasserstoffs, Methans und Ammoniaks. Z.Phys.Chem.(Leipzig) 112 (1924) 486-490
6	Eucken A.; Berger W.: Das I-T-Diagramm des Methans. Z.Ges.Kälteindustrie 41 (1934) 145-152
$$$Virial Coefficients
T [K]	Second Virial Coefficient [cm3/mol]	State	Reference
128.53	-245.0000	Vapor	1
135.58	-215.0000	Vapor	1
168.77	-168.0000	Vapor	1
180.86	-121.0000	Vapor	1
188.14	-126.9000	Vapor	1
188.75	-131.7000	Vapor	1
194.98	-100.6000	Vapor	1
200.00	-104.7000	Vapor	2
205.25	-113.3000	Vapor	1
206.19	-88.7000	Vapor	1
217.21	-105.2000	Vapor	1
225.00	-82.2000	Vapor	2
240.00	-71.6000	Vapor	2
244.62	-62.5000	Vapor	1
250.00	-65.4000	Vapor	2
260.82	-54.2000	Vapor	1
272.11	-51.0000	Vapor	1
275.00	-52.4000	Vapor	2
296.25	-44.7000	Vapor	1
298.15	-43.2500	Vapor	5
300.00	-41.9000	Vapor	2
303.15	-40.9000	Vapor	4
313.15	-37.4000	Vapor	4
323.15	-34.3000	Vapor	4
325.00	-33.4000	Vapor	2
350.00	-26.4000	Vapor	2
375.00	-20.4000	Vapor	2
398.15	-16.3000	Vapor	6
523.15	2.1600	Vapor	3
573.15	5.7900	Vapor	3
623.15	9.5000	Vapor	3
653.15	11.4400	Vapor	3
769.02	15.0000	Vapor	1
885.19	34.0000	Vapor	1
Number	Source
1	Hohm U.; Kerl K.: Interferometric Determination Of Mean Polarizabilities And Second Density Virial Coefficients Of Methane Between 128 K And 890 K. Int.J.Phys.Chem.Ber.Bunsen-Ges. 95 (1991) 36-42
2	Trusler J.P.M.: The Speed of Sound in (0.8CH4 + 0.2C2H6)(G) at Temperatures between 200 K and 375 K and Amount-of-Substance Densities up to 5 Mol/dm3. J.Chem.Thermodyn. 26 (1994) 751-763
3	Abdulagatov I.M.; Bazaev A.R.; Ramazanova A.E.: Volumetric Properties and Virial Coefficients of (Water + Methane). J.Chem.Thermodyn. 25 (1993) 249-259
4	McEllroy P.J.; Kee L.L.; Renner C.A.: Excess Second Virial Coefficients for Binary Mixtures of Carbon Dioxide with Methane, Ethane and Propane. J.Chem.Eng.Data 35 (1990) 314-317
5	Ohgaki K.; Mizuhaya T.; Katayama T.: The Interaction Second Virial Coefficients for Seven Binary Systems Containing Carbon Dioxide, Methane, Ethylene, Ethane and Propylene at 25°C. J.Chem.Eng.Japan 14 (1981) 71-72
6	Ohgaki K.; Nakamura Y.; Ariyasu H.; Katayama T.: Interaction Second Virial Coefficients for Six Binary Systems Containing Carbon Dioxide, Methane, Ethylene and Propylene at 125°C. J.Chem.Eng.Japan 15 (1982) 85-90
